smiles,Tm
O=C1CCCC1C2CCCC2,260.15
Brc1ccccc1N,305.15
ClCC(=C)CCl,259.15
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,205.35
O=C(C)OC(C)CC(C)C,209.15
Brc1cc(C)c(C)cc1C,346.15
CCCC(C)C,119.45
CCOC(=O)CN,419.15
CCc1cccc(CC)c1,189.25
CCCCCCCCCCCCCCCC(=O)OC,611.0
CCOP(OCC)OCC,193.15
O=S(C)c1ccccc1,305.15
Sc1ccc2ccccc2c1,354.15
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,351.8
NCCCCCCCCCCC,290.15
Cc1ccc2N=C(C)Nc2c1,476.15
SCC,125.35
IC,206.75
O=C(C)Nc1ccc(N)cc1,439.65
CCC1CCC(C)C1,165.15
N1CCNCC1,379.15
BrCC(Br)C,217.95
CCCCCOCCCCC,204.15
C=CCCCCCCCCCCCCCCC,284.65
C=CCOCC=C,267.15
O=N(=O)c1ccc(C)c(N(=O)=O)c1N(=O)=O,385.15
Cc1ccc(Cl)c(Cl)c1,257.95
CCCCCCC(=O)OCCC,209.65
COc1ccccc1C,239.05
CSC(=O)c1cccc2N=NSc12,406.05
CCOc1cc(Cl)c(N)c(Cl)c1,319.15
CC1=CC=C(C)S1,210.55
O=C(c1ccccc1)c2cnccc2,311.15
O=N(=O)c1cccc(Cl)c1Cl,334.65
N#Cc1ccnc2ccccc12,376.65
CCC=CCC,183.15
BrCc1ccccc1,270.15
C1CCC(=CC1)c2ccccc2,262.15
OCCCCCCCCC,268.15
COc1ccc(I)cc1,326.15
C=CC(=O)O,286.65
Cc1cc(cc(c1)N(=O)=O)N(=O)=O,366.15
Cc1ccc(Cl)c(c1)N(=O)=O,280.15
C#CCCCC#C,188.15
Oc1c(cc(cc1C(C)(C)C)C(C)(C)C)C(C)(C)C,404.15
ClCC(=C)Cl,283.15
CC1=CCC2CC1C2(C)C,209.15
NCC1=CC=CO1,203.15
CCC(CC)CC,154.55
Clc1cc(Cl)c(O)cc1O,386.15
CNc1ccccc1,216.15
OCc1ccc(cc1)C(C)C,301.15
OCC#CCO,323.15
CC1=CSC(C)=C1C,246.95
Cl[Si](Cl)C,180.15
Oc1cccc(c1)N(C)C,359.15
O=C(Nc1ccccc1)Nc2ccccc2,512.15
CCCCCCCCCCCCCCCCCCCCCCC,320.75
C1CCC(CC1)OC2CCCCC2,237.15
N#Cc1ccccc1C,259.65
O=C(S)C,256.15
COC(C)C,127.93
COc1cccc(F)c1,238.15
C1CC1,145.75
CCCCCC(=O)c1ccc(O)cc1O,330.15
c1ccc2Cc3ccccc3Sc2c1,401.65
C=Cc1ccc(CC)cc1,223.45
ICCCCCCCC,227.45
Clc1ccc2cccc(C)c2n1,334.15
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,144.95
CCOC(=O)C=C,201.95
O=C1CC2CCCCC2C1,283.15
Cc1cc(C)c(O)c(C)c1,346.15
C1CCc2ccccc2C1,237.45
CCC(Cl)C(Cl)C,195.85
CCC(c1ccccc1)c2ccccc2,286.45
O=N(=O)c1cccc(Cl)c1C,310.95
OCC(F)F,244.95
Oc1ccc(cc1)N(=O)=O,386.95
C=C(C)CCC=C(C)C,203.15
CCC=CC(C)C,131.55
CCOc1cccc(c1)N(=O)=O,309.15
O=Nc1ccc(cc1)Nc2ccccc2,416.15
CCCCCCCC(C)C,198.55
N#Cc1ccccc1OC,297.65
OCC(O)C(O)CO,394.65
COC(=O)c1ccc(C)cc1C,271.15
CCOc1ccc(C=O)cc1,286.65
NCCN,284.25
O=C1CCC=C(C)C1,252.15
Cc1ccc2CC(C)CCc2c1,293.15
Nc1cccc(C)c1C,275.65
C1CCN(CC1)c2ccccc2,277.85
CCCC(CC)c1ccccc1,217.75
COC(=O)c1ccc2ccccc2c1,350.15
CN(C)c1c(C)cccc1C,237.15
O=C(C1=CC=CS1)C2=CC=CS2,363.15
CCc1cccc(O)c1,269.15
CCc1cccc(c1)N(=O)=O,235.25
O=Cc1ccc(Cl)cc1,320.65
NC1CC1,237.75
O=C1OC(=O)C(C)C1,307.15
CCCCCCCCCCCCOC(=O)C,274.45
Cc1cccc(c1)C(=O)Cl,250.15
C1=CCc2ccccc2C1,298.15
O=C(O)c1cccc2ccccc12,434.15
CC1=Nc2ccccc2S1,287.15
CN(C)c1ccc2ccccc2c1,325.65
ClC(Cl)C(F)(F)F,166.15
CON(=O)=O,190.65
CN1C=CC=C1,216.15
ClC(Cl)C(Cl)(Cl)Cl,244.15
CCCC(=O)OC,187.35
COc1cccc(C)c1C,302.15
N#Cc1ccc2ccccc2c1,339.15
OCCc1ccccc1C,275.15
O=Cc1ccc(OC)cc1,273.15
Clc1cc(Cl)cc(C)c1,299.15
ClCC(F)(F)F,167.65
CCC(C)c1cccc(C(C)CC)c1O,231.15
O=Cc1ccccc1C,238.15
O=C1C=Cc2cc(C)ccc2O1,349.65
O=C(O)C1CCC1,271.15
CCCCCCCCOC(=O)CCC,217.55
BrCC(Br)Br,243.85
O=S(F)F,143.65
IC(C)C,183.15
c1ccc2cc3c4ccccc4c5ccccc5c3cc2c1,479.15
Oc1cccc(O)c1C,393.15
OCCC(C)(C)C,213.15
n1ccccc1,231.55
CCCCC(C)C(C)C,157.15
CCCCCC(O)CCCCC,298.15
O=CCC(C)C,222.15
c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,710.45
OCC(O)CO,291.35
O=C(c1ccccc1)C(O)c2ccccc2,410.15
c1ccc(cc1)C=Cc2ccccc2,396.15
CCc1cnc(C)cc1,202.25
CCOC(=O)c1ccc2ccccc2c1,305.15
COC(=O)c1ccccc1N(=O)=O,260.15
ICCCCCCC,224.95
Brc1cccc(O)c1,306.15
ClCCOCCCl,221.25
BrCCCCCCCCCCCCCCCC,291.15
BrC(Br)F,195.15
Fc1ccccc1F,239.15
Brc1cccc(c1)C(F)(F)F,274.15
CCCCCCCCCCCCCCCCC,295.15
CCCCC(CC)C(=O)O,214.15
O=N(=O)c1ccccc1C,263.15
O=C(Cl)C1=CC=CO1,271.15
FCCCCCCCCC,274.15
CC(C)C1CCCCC1,183.75
CC=C1CCCC1,143.65
Oc1cccc(c1)C(C)C,299.15
ClCc1cccc(CCl)c1,307.35
CC(C)c1cc(cc(c1)C(C)C)C(C)C,265.75
c1ccc(cc1)NNc2ccccc2,404.15
OOCC,173.15
O=C(O)C1CC=C(C)C1(C)C,313.65
CCCCCC=CCC=CCCCCCCCC(=O)OC,639.0
CC(C)c1ccccc1C,201.65
Cc1ccc(C(C)C)c(C)c1,191.15
BrCCBr,283.05
O=C(C)c1ccc(C)c(C)c1,270.15
Clc1ccc(Cl)cc1,325.85
ClC(Cl)Cl,209.55
CCCS(=O)(=O)CCC,302.65
OCCN(C)CCO,252.15
CCCCC,143.45
CO[Si](OC)(OC)OC,271.15
CCCCCCCCCc1ccccc1,249.15
CCCCCCC(=O)CCCCCC,306.15
O=CCc1ccccc1,306.65
CCCc1ccccc1O,280.15
CCCCCCCCCCCCCC,278.95
CCCCCCCCCCCCCCCCC(=O)O,635.15
CC(C)CCC(C)C,182.15
Oc1cccc2CCCCc12,343.15
CCCCC(C)C(O)C,159.15
Nc1ccc(N=Nc2ccccc2)c(N)c1,391.65
CCCCCCCCCCCC,263.55
CCC(N)(C)C,168.15
O=C(O)C=Cc1ccccc1,406.15
OCC1CCCN2CCCCC12,343.15
CC(C)OC(=O)C=CC(=O)OC(C)C,275.25
CCC(CC)C(=C)C,160.25
COc1ccc(cc1)N=Nc2ccccc2,329.15
Cc1ccnc(C)n1,269.15
C=C(C)CC(C)(C)C,179.65
CC=CC(=O)O,345.15
Clc1ccc(Br)c(Cl)c1,299.15
ClC=CC,138.35
Clc1ccc(Cl)c(C)c1,278.15
CC(C)COC(=O)C(C)C,192.45
Nc1ccc(O)cc1,460.65
CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC,329.65
CCCCCCCC(=O)OCCCCC,238.35
CCCCCCCCCCCCCCCCCc1ccccc1,305.15
BrCCCCC,178.15
CCCCCCCCOC(=O)CCCCC,245.15
CCCCCC(=O)N,374.15
c1ccc2Sc3ccccc3Nc2c1,460.65
N#Cc1cccc(Br)c1,312.65
OCCOCCOCCO,266.15
Brc1ccc2CCc3cccc1c23,325.15
BrCCc1ccccc1,207.45
CCC(C)(C)C(C)C,172.25
ClCC(Cl)(Cl)Cl,202.95
O=C(O)C(C)C(C)C,271.65
O=C(O)C(Cl)=C(Cl)Cl,349.15
Clc1ccc(Cl)c(O)c1,332.15
O=C(C)OC1CCCC1,286.65
CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C,409.15
CCC(CC)(CC)CC,240.05
Cc1ccc(cc1)S(=O)(=O)c2ccc(C)cc2,432.15
O=N(=O)OC(C)C,190.81
O=C(O)C(F)(F)F,257.95
CC(C)C(O)(C)C,259.15
O1COCOC1,333.35
O=C1OCCO1,312.65
O=C(C)N(C)C,253.15
CCOC(=O)C(C(=O)OCC)C(=O)OCC,302.15
Clc1cccc2ncccc12,318.15
CCCOc1ccccc1,246.15
n1ccncc1,328.15
BrCCCCCCCCCC,243.95
c1ccc(cc1)C2=Nc3ccccc3S2,388.15
ClCC(O)CCl,269.15
O=C(c1ccccc1)C2=CC=CS2,329.65
CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O,313.15
CCCCCCCOC(=O)CCCCC,238.75
CC(C)C(O)C(C)C,203.15
C#CCCC,183.15
Cc1ncccn1,269.15
OCCOCCCCCC,228.05
CCCC(=O)C(=O)O,279.65
CCCCN(C)C,213.15
O=C(C)OCCCCOC(=O)C,285.15
CC1CCC(C)C1,139.15
CCCCCC(=O)OCCC,204.45
CCOc1cccc(F)c1,245.65
NCCCC(C)C,178.75
OC1CCCCCC1,275.15
COc1ccccc1,235.65
O1CC1C2OC2,276.15
Oc1c(C)c(C)c(C)c(C)c1C,401.15
OCCOCCCC,198.35
ICC(C)C,180.15
N#Cc1cccc(C)c1,250.15
CC1=CCCCC1,152.75
O=N(=O)c1ccccc1N(=O)=O,391.65
O=N(=O)C1CCCCC1,239.15
O=C(Cl)c1ccccc1Cl,269.15
CC=CCCC,175.15
O=Cc1cccc(Cl)c1,290.65
O1COCC1,178.15
ClC(Cl)(Cl)CC(Cl)(Cl)Cl,246.15
Cc1cc2CCCCc2cc1C,283.15
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,264.15
N#Cc1ccccc1C(F)(F)F,291.15
Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,360.65
Cc1ccc(cc1)Cc2ccc(C)cc2,301.15
NC(C)C,178.05
CCCOC(=O)c1ccccc1O,370.15
C1COC(OC1)c2ccccc2,314.15
NC(c1ccccc1)c2ccccc2,307.15
Clc1cccc(Cl)c1Br,338.15
O=Cc1cccc(C=O)c1,362.65
CCOC(=O)CCl,252.15
O=C(C)CC(C)(C)C,209.15
CCCCCCCSCCCCCCC,343.15
ClC(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,284.15
CCCOC(=O)C,180.15
COC(=O)c1ccccc1NC,292.15
CCCCCC(=O)OC,422.65
CCOC(=O)N(c1ccccc1)c2ccccc2,345.15
ClCCCOc1ccccc1,285.15
Cc1cccc2cccnc12,193.15
Cc1cc(cc(c1O)C(C)(C)C)C(C)(C)C,324.15
CC1=CC=CS1,209.75
ClCC1CC1,182.25
O=C(Cl)C=Cc1ccccc1,309.15
Brc1cccc(c1)N(=O)=O,329.15
C#CC=CC=C,192.15
CCCCOC(=O)c1ccccc1O,267.25
CCCCCCC(O)CCCC,269.65
CCCCC(=O)O,239.15
ClC(Cl)(F)c1ccccc1,246.35
COc1cc(OC)cc(OC)c1,327.65
C=CC1=CC=CO1,179.15
CCCCCCC(c1ccccc1)c2ccccc2,287.15
CC12C=CC(CC1)C2(C)C,386.15
CCc1ccccc1O,291.15
BrCC(CBr)(CBr)CBr,436.15
N#CC(=O)c1ccccc1,305.65
CCCCCCCCCCC,247.55
C=C1CCC1,138.45
CC=CC(=O)OC,231.15
CCCC=CC,175.15
c1ccc2c(c1)Nc3ccccc23,519.35
O=C(O)CCCCC1SSCC1,333.65
BrCC(Cl)(Cl)Br,247.15
CCOC(=O)OCC,230.15
CSCC,167.25
Cc1cccc(N=Cc2ccccc2)c1,304.15
CCCC(c1ccccc1)c2ccccc2,300.15
OCC(F)(F)F,229.65
CCCOC(=O)CC,197.25
COS(=O)(=O)F,178.15
Oc1cccc(c1)C(=O)C,369.15
NCCCCCCCCCCCC,301.45
Ic1cccc(C)c1,245.95
C=CCCCCCCCCCCCCCCCCCC,301.65
CCCC(C)C(C)C,152.0
CCCCCCCOC(=O)CCCCCC,240.15
CCOC(=O)c1cnccc1,281.65
CNc1cccc2ccccc12,447.15
COC(=O)c1ccc(O)c(OC)c1,337.15
NCCCCC,218.15
CCCCCCC(=O)OC(=O)CCCCCC,260.75
N#Cc1ccc(C)cc1,302.65
CCCCCCCCCCCCCCCC(C)C,278.85
CCC(C)c1ccccc1O,289.15
Clc1ccc(N)c(Cl)c1,336.65
Cc1ccc(N)c(C)c1,258.85
NCCCCCC,250.25
Brc1ccc(Br)c(C)c1,278.75
O=N(=O)c1cccc(c1)N(C)C,333.65
CCc1ccccc1,178.25
C#CC(O)C,270.15
CCOOCC,203.15
CCCC(C)c1ccccc1,203.15
Clc1c(Cl)c(Cl)c2Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc2c1Cl,603.15
BrCCCCCCCCCCCCCCCCC,305.15
Cc1ccc(cc1)c2ccccc2,322.65
ClC=C(Cl)C(Cl)=CCl,269.15
C#CCCCCCCCCCC,254.15
c1ccc(cc1)C2OC(c3ccccc3)=C(c4ccccc4)C2c5ccccc5,448.15
OC(C)(C)C(O)(C)C,316.15
O=C(O)C1=CCCc2ccccc12,398.15
CCC(=O)C(=C)C,203.65
NCCCCCCCCCCCCCCC,310.45
CC1=NNC(C)=C1Cl,390.65
CCC(=C)CC,141.65
ClC#CCl,207.15
BrCC(Br)CBr,290.05
NCC(O)C,298.15
c1ccc(cc1)OP(Oc2ccccc2)Oc3ccccc3,298.15
C#CCCCCCCCCCCCCCCCC,295.65
COC(=O)c1cccc(I)c1,327.65
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,214.15
Nc1cccc(N)c1N,376.15
CC1CCCCC1C,223.25
CC(C)c1cccc(c1)C(C)C,210.05
Clc1ccc2ncccc2c1,316.95
CCC(=O)Cl,179.15
O=C(Br)c1ccccc1,249.15
O=N(=O)C(C)C,181.85
FC(F)(F)C#CC(F)(F)F,155.75
CCCCCCCCCc1cccc2ccccc12,281.15
Oc1ccc(C)c(Cl)c1,328.65
Cc1ccccc1c2ccccc2,272.95
FCCO,246.75
c1ccc(cc1)C(c2ccccc2)=C(c3ccccc3)c4ccccc4,498.15
OC(c1ccccc1)c2ccccc2,342.15
Clc1nccc(C)c1,388.15
BrC1=CC(Br)=C(Br)S1,302.15
Brc1ccccc1Br,280.25
CCc1c(C)cccc1C,256.95
ClC(Cl)Br,216.15
CCCCc1ccccc1O,253.15
O=C(N)c1ccccc1,402.25
O=C(C)Oc1cccc(C)c1,285.15
Brc1cccc(C)c1,233.35
O=C(Cl)c1ccccc1,272.15
CCCCCC(O)CC,228.15
Brc1ccc(O)cc1,339.55
ClC=C(Cl)C(F)(F)F,163.95
ClC(Cl)=C(Cl)C(Cl)(Cl)Cl,200.25
COc1ccc(cc1)C(=O)OC,322.15
CCOC(C)OCC,173.15
